Title,Rating,Votes,Duration,Genre
Eat the Night,6.1,488,1h 46m,thriller
Seeds,6.5,72,1h 22m,thriller
KA,7.1, 1.6K,2h 31m,thriller
The Body,6.2,248,1h 56m,thriller
Bloodline Killer,3.8, 4.4K,1h 45m,thriller
Love Bomb,3,261,1h 15m,thriller
Reawakening,6.2,343,1h 30m,thriller
Unspeakable: Beyond the Wall of Sleep,6.1,55,1h 30m,thriller
Previously Saved Version,5.4,424,1h 57m,thriller
Rogue Elements: A Ryan Drake Story,4.6,987,44m,thriller
How to Make a Killing,6.6,746,1h 49m,thriller
Familia,6.8,319,2h,thriller
Yodha,5.7, 8.9K,2h 10m,thriller
Shoutai,6.9,583,2h,thriller
Way Home,6.6,755,1h 38m,thriller
72 Hours,4.1,289,1h 27m,thriller
Scurry,7.6,27,1h 30m,thriller
The Intruder,4.6,530,1h 41m,thriller
Footage,5.1, 2.4K,2h 4m,thriller
Everyone Is Going to Die,5.7,93,1h 24m,thriller
Trapped Inn,2.7,917,1h 55m,thriller
Kanguva,4.5, 15K,2h 32m,thriller
Pusaka,5.2,146,1h 30m,thriller
Went Up the Hill,6.9,78,1h 40m,thriller
Haunted Heart,4.8,475,2h 8m,thriller
The Hangman,3.3, 1K,1h 32m,thriller
Bade Miyan Chote Miyan,3.7, 39K,2h 43m,thriller
Ferry 2,5.6, 3.8K,1h 34m,thriller
Dismissed,8.6,76,1h 31m,thriller
Decoded,5.7,441,2h 36m,thriller
Possession: Kerasukan,3.6,291,1h 34m,thriller
Sheriff,6.9, 1.1K,2h 13m,thriller
1 Million Followers,4.8,685,1h 41m,thriller
The Good Teacher,6.6, 1.9K,1h 31m,thriller
Konchitsya leto,6.9,279,1h 58m,thriller
Unit 234,5.5,287,1h 26m,thriller
He Ain't Heavy,6,364,1h 42m,thriller
Amongst the Wolves,6.7,31,1h 40m,thriller
Guna guna istri muda,5.1,165,1h 38m,thriller
1978,5.4,211,1h 16m,thriller
The Cut,6.9,100,1h 39m,thriller
Steal Her Breath,6.2,86,1h 50m,thriller
Un cuento de pescadores,7.1,43,1h 43m,thriller
Faultline,5.7,105,1h 32m,thriller
Bangkok Breaking: Heaven and Hell,5.8,674,2h 26m,thriller
Cellphone,3,725,1h 28m,thriller
